2025-07-10 15:18:19,804 - INFO - Starting raw disk scan of D:\
2025-07-10 15:18:19,804 - INFO - Performing file system scan of D:\
2025-07-10 15:18:22,413 - INFO - Recovered file: recovered_000090_20250710_151822.zip (ZIP Archive/Office Document, 2781295 bytes)
2025-07-10 15:18:22,441 - INFO - Recovered file: recovered_000091_20250710_151822.TMP (Unknown File Type, 2784924 bytes)
2025-07-10 15:18:22,470 - INFO - Recovered file: recovered_000092_20250710_151822.zip (ZIP Archive/Office Document, 2785409 bytes)
2025-07-10 15:18:22,513 - INFO - Recovered file: recovered_000093_20250710_151822.zip (ZIP Archive/Office Document, 2781265 bytes)
2025-07-10 15:18:22,551 - INFO - Recovered file: recovered_000094_20250710_151822.zip (ZIP Archive/Office Document, 2781264 bytes)
2025-07-10 15:18:22,630 - INFO - Recovered file: recovered_000095_20250710_151822.zip (ZIP Archive/Office Document, 2781297 bytes)
2025-07-10 15:18:22,679 - INFO - Recovered file: recovered_000096_20250710_151822.zip (ZIP Archive/Office Document, 2772357 bytes)
2025-07-10 15:18:22,750 - INFO - Recovered file: recovered_000097_20250710_151822.TMP (Unknown File Type, 2781263 bytes)
2025-07-10 15:18:22,829 - INFO - Recovered file: recovered_000098_20250710_151822.zip (ZIP Archive/Office Document, 2781299 bytes)
2025-07-10 15:18:22,905 - INFO - Recovered file: recovered_000099_20250710_151822.unknown (Unknown File Type, 2784924 bytes)
2025-07-10 15:18:22,981 - INFO - Recovered file: recovered_000100_20250710_151822.unknown (Unknown File Type, 2772537 bytes)
2025-07-10 15:18:23,080 - INFO - Recovered file: recovered_000101_20250710_151823.unknown (Unknown File Type, 2773168 bytes)
2025-07-10 15:18:23,155 - INFO - Recovered file: recovered_000102_20250710_151823.zip (ZIP Archive/Office Document, 2773162 bytes)
2025-07-10 15:18:23,231 - INFO - Recovered file: recovered_000103_20250710_151823.zip (ZIP Archive/Office Document, 2781326 bytes)
2025-07-10 15:18:23,310 - INFO - Recovered file: recovered_000104_20250710_151823.zip (ZIP Archive/Office Document, 2784435 bytes)
2025-07-10 15:18:23,394 - INFO - Recovered file: recovered_000105_20250710_151823.zip (ZIP Archive/Office Document, 2785200 bytes)
2025-07-10 15:18:23,450 - INFO - Recovered file: recovered_000106_20250710_151823.zip (ZIP Archive/Office Document, 2781296 bytes)
2025-07-10 15:18:23,499 - INFO - Recovered file: recovered_000107_20250710_151823.TMP (Unknown File Type, 2785122 bytes)
2025-07-10 15:18:23,614 - INFO - Recovered file: recovered_000108_20250710_151823.zip (ZIP Archive/Office Document, 2781326 bytes)
2025-07-10 15:18:23,692 - INFO - Recovered file: recovered_000109_20250710_151823.zip (ZIP Archive/Office Document, 2781295 bytes)
2025-07-10 15:18:23,723 - INFO - Recovered file: recovered_000110_20250710_151823.unknown (Unknown File Type, 2784923 bytes)
2025-07-10 15:18:23,764 - INFO - Recovered file: recovered_000111_20250710_151823.zip (ZIP Archive/Office Document, 2785385 bytes)
2025-07-10 15:18:23,795 - INFO - Recovered file: recovered_000112_20250710_151823.zip (ZIP Archive/Office Document, 2784435 bytes)
2025-07-10 15:18:23,827 - INFO - Recovered file: recovered_000113_20250710_151823.zip (ZIP Archive/Office Document, 2785385 bytes)
2025-07-10 15:18:23,857 - INFO - Recovered file: recovered_000114_20250710_151823.TMP (Unknown File Type, 2784923 bytes)
2025-07-10 15:18:23,887 - INFO - Recovered file: recovered_000115_20250710_151823.TMP (Unknown File Type, 2773168 bytes)
2025-07-10 15:18:23,916 - INFO - Recovered file: recovered_000116_20250710_151823.unknown (Unknown File Type, 2772537 bytes)
2025-07-10 15:18:23,956 - INFO - Recovered file: recovered_000117_20250710_151823.zip (ZIP Archive/Office Document, 2781299 bytes)
2025-07-10 15:18:23,987 - INFO - Recovered file: recovered_000118_20250710_151823.unknown (Unknown File Type, 2785122 bytes)
2025-07-10 15:18:24,036 - INFO - Recovered file: recovered_000119_20250710_151824.zip (ZIP Archive/Office Document, 2773161 bytes)
2025-07-10 15:18:24,086 - INFO - Recovered file: recovered_000120_20250710_151824.zip (ZIP Archive/Office Document, 2781354 bytes)
2025-07-10 15:18:24,118 - INFO - Recovered file: recovered_000121_20250710_151824.zip (ZIP Archive/Office Document, 2773161 bytes)
2025-07-10 15:18:24,146 - INFO - Recovered file: recovered_000122_20250710_151824.zip (ZIP Archive/Office Document, 2781542 bytes)
2025-07-10 15:18:24,170 - INFO - Recovered file: recovered_000123_20250710_151824.TMP (Unknown File Type, 2772537 bytes)
